state,district,vote,name,party,bill,bill_text
AL,4,No,Robert Aderholt,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
UT,1,No,Rob Bishop,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
GA,2,Yes,Sanford Bishop Jr.,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OR,3,Yes,Earl Blumenauer,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,8,No,Kevin Brady,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,26,No,Michael Burgess,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,42,No,Ken Calvert,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TX,31,No,John Carter,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
HI,1,Yes,Ed Case,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OH,1,No,Steve Chabot,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MO,1,Yes,Lacy Clay Jr.,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
SC,6,Yes,Jim Clyburn,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OK,4,No,Tom Cole,Republican,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
TN,5,Yes,Jim Cooper,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
MD,7,Yes,Elijah Cummings,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
IL,7,Yes,Danny Davis,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CA,53,Yes,Susan Davis,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
OR,4,Yes,Peter DeFazio,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
CO,1,Yes,Diana DeGette,Democrat,Raise the Wage Act,Do you think the federal minimum wage should be raised to $15/hr?
